,word,freq
453,unbearable,8
454,provides,8
455,authorised,8
456,hyderabad,8
457,believing,8
458,everyday,8
459,planning,8
460,performing,8
461,requirement,8
462,efficiency,8
463,cost,8
464,blue,8
465,best,8
466,ok,8
467,proper,7
468,price,7
469,l,7
470,g,7
471,thing,7
472,fine,6
473,11,6
474,bed,6
475,unprofessional,5
476,called,5
477,come,5
478,lot,5
479,disappointment,5
480,came,5
481,mark,5
482,expected,4
483,last,4
484,hardly,4
485,min,4
486,feel,4
487,say,4
488,conditioner,4
489,means,4
490,regretting,4
491,decision,4
492,features,4
493,services,4
494,function,4
495,looking,4
496,wifi,4
497,usage,4
498,invertor,4
499,around,3
500,might,3
501,customers,3
502,fix,3
503,continuously,3
504,gave,3
505,resolve,3
506,especially,3
507,lack,3
508,timely,3
509,effective,3
510,flow,3
511,filter,3
512,works,3
513,required,3
514,basic,3
515,facing,3
516,ago,3
517,rating,3
518,part,3
519,daikin,3
520,jeewas,2
521,faced,2
522,currently,2
523,howers,2
524,places,2
525,twice,2
526,test,2
527,technicals,2
528,reviews,2
529,ignored,2
530,thinking,2
531,odd,2
532,anyway,2
533,smaller,2
534,remember,2
535,allocate,2
536,jeevas,2
537,technical,2
538,suffer,2
539,description,2
540,fair,2
541,comparison,2
542,maintain,2
543,situation,2
544,rescheduled,2
545,wtf,2
546,expecting,2
547,express,2
548,growing,2
549,frustration,2
550,continued,2
551,regarding,2
552,inadequate,2
553,center,2
554,despite,2
555,multiple,2
556,attempts,2
557,remains,2
558,functional,2
559,concerns,2
560,adequately,2
561,addressed,2
562,prolonged,2
563,inconvenience,2
564,caused,2
565,significant,2
566,discomfort,2
567,current,2
568,extreme,2
569,weather,2
570,conditions,2
571,going,2
572,user,2
573,friendly,2
574,hope,2
575,back,2
576,supply,2
577,likege,2
578,mentioning,2
579,anti,2
580,viral,2
581,flipcart,2
582,mistake,2
583,life,2
584,results,2
585,worest,2
586,local,2
587,causes,2
588,trouble,2
589,changing,2
590,dakin,2
591,chilling,2
592,providing,2
593,hype,2
594,else,2
595,add,2
596,dependent,2
597,second,2
598,window,2
599,difference,2
600,responding,2
601,purchasing,2
602,huge,2
603,contact,2
604,contacted,2
605,year,2
606,name,2
607,happy,2
608,runs,2
609,cannot,2
610,due,2
611,front,2
612,available,2
613,fitting,2
614,charges,2
615,additional,2
616,40,2
617,give,2
618,horizontal,2
619,vertical,2
620,15days,2
621,right,2
622,u,2
623,spare,2
624,leaked,1
625,hard,1
626,earned,1
627,raising,1
628,visited,1
629,submitted,1
630,final,1
631,report,1
632,call,1
633,said,1
634,sorry,1
635,sir,1
636,400,1
637,units,1
638,split,1
639,scrap,1
640,understanding,1
641,damaged,1
642,earlkart,1
643,accountable,1
644,machanic,1
645,item,1
646,online,1
647,extremely,1
648,fall,1
649,explains,1
650,discount,1
651,conditioners,1
652,wish,1
653,luck,1
654,search,1
655,packing,1
656,tata,1
657,instead,1
658,stupid,1
659,headache,1
660,lots,1
661,mess,1
662,trust,1
663,indian,1
664,auto,1
665,higher,1
666,floors,1
667,told,1
668,phone,1
669,number,1
670,talk,1
671,spoke,1
672,send,1
673,sent,1
674,suffering,1
675,summer,1
676,hopeless,1
677,options,1
678,first,1
679,hower,1
680,complete,1
681,vaccum,1
682,copper,1
683,tube,1
684,weeks,1
685,functioning,1
686,repeated,1
687,calls,1
688,harassed,1
689,looted,1
690,woest,1
691,yr,1
692,useful,1
693,coolling,1
694,noticed,1
695,inlet,1
696,raining,1
697,insult,1
698,level,1
699,expectations,1
700,22,1
701,consuming,1
702,keeping,1
703,draining,1
704,think,1
705,making,1
706,fools,1
707,30mins,1
708,3ton,1
709,5ton,1
710,sound,1
711,16degree,1
712,25degree,1
713,maintained,1
714,tr,1
715,dual,1
716,2023,1
717,specification,1
718,connection,1
719,special,1
720,6in,1
721,manufacturing,1
722,either,1
723,chill,1
724,drops,1
725,heard,1
726,disturbed,1
727,dose,1
728,whole,1
729,long,1
730,persons,1
731,sayin,1
732,instalation,1
733,later,1
734,significantly,1
735,smelling,1
736,dirty,1
737,equal,1
738,fishy,1
739,smell,1
740,post,1
741,7,1
742,limited,1
743,app,1
744,connect,1
745,90sft,1
746,60,1
747,backlit,1
748,impression,1
749,functionality,1
750,regret,1
751,apply,1
752,foolishing,1
753,hitting,1
754,forever,1
755,settlement,1
756,leaks,1
757,requirements,1
758,desired,1
759,location,1
760,6month,1
761,16deg,1
762,happening,1
